ID,ticker,Date,Open,High,Low,Close,Volume,Daily_Return,Return_Excel,SMA_20,SMA_50,VOL_20,Trend_20_50,Max_Close,Drawdown
1093,AAPL,4/4/25,193.229,199.199,186.702,187.738,125910900,-0.0728873,-0.072889609,215.82735,228.18384,0.031187419,Downtrend,257.854,-0.27192132
1094,AAPL,4/7/25,176.596,193.488,174.025,180.842,160466300,-0.0367343,-0.036732041,213.5342,227.36514,0.030555971,Downtrend,257.854,-0.298665136
1095,AAPL,4/8/25,186.064,189.691,168.633,171.832,120859500,-0.0498182,-0.049822497,211.12145,226.22528,0.031542652,Downtrend,257.854,-0.33360739
1096,AAPL,4/9/25,171.364,199.926,171.304,198.172,184395900,0.153289,0.153289259,210.218,225.44498,0.048488162,Downtrend,257.854,-0.231456561
1097,AAPL,4/10/25,188.426,194.116,182.376,189.771,121880000,-0.0423939,-0.042392467,209.2583,224.47476,0.048814835,Downtrend,257.854,-0.264037013
1098,AAPL,4/11/25,185.466,198.86,185.426,197.475,87435900,0.0405945,0.040596298,208.49395,223.69386,0.049595152,Downtrend,257.854,-0.234159641
1099,AAPL,4/14/25,210.719,212.214,200.474,201.83,101352900,0.0220541,0.022053424,207.9219,223.03172,0.049892989,Downtrend,257.854,-0.217270238
1100,AAPL,4/15/25,201.172,202.816,199.119,201.451,51343900,-0.00187645,-0.001877818,207.3962,222.52108,0.049881774,Downtrend,257.854,-0.218740062
1101,AAPL,4/16/25,197.684,200.016,191.714,193.608,59732400,-0.0389334,-0.038932544,206.3513,221.7582,0.05045915,Downtrend,257.854,-0.249156499
1102,AAPL,4/17/25,196.528,198.152,193.757,196.309,52164700,0.0139496,0.01395087,205.49825,221.05592,0.050615157,Downtrend,257.854,-0.238681579
1103,AAPL,4/21/25,192.611,193.14,189.163,192.502,46742500,-0.0193928,-0.019392896,204.24705,220.26256,0.050453679,Downtrend,257.854,-0.253445748
1104,AAPL,4/22/25,195.452,200.903,195.302,199.059,52976400,0.0340651,0.034061984,203.2011,219.71164,0.051091892,Downtrend,257.854,-0.22801663
1105,AAPL,4/23/25,205.298,207.291,202.109,203.903,52929200,0.0243316,0.024334494,202.2469,219.25222,0.051338483,Downtrend,257.854,-0.209230805
1106,AAPL,4/24/25,204.192,208.118,202.248,207.66,47311000,0.0184262,0.018425428,201.59115,218.76888,0.051535414,Downtrend,257.854,-0.194660544
1107,AAPL,4/25/25,205.667,209.035,205.497,208.567,38222300,0.00436719,0.004367716,200.86515,218.21896,0.051476771,Downtrend,257.854,-0.19114305
1108,AAPL,4/28/25,209.284,210.779,206.753,209.424,38743100,0.00410934,0.004108991,200.4785,217.5933,0.051166126,Downtrend,257.854,-0.187819464
1109,AAPL,4/29/25,207.979,211.517,207.66,210.49,36827600,0.00509188,0.005090152,199.93435,216.92778,0.050971116,Downtrend,257.854,-0.183685341
1110,AAPL,4/30/25,208.587,212.852,205.966,211.776,52286500,0.00610764,0.006109554,199.4017,216.29056,0.050980411,Downtrend,257.854,-0.178698023
1111,AAPL,5/1/25,208.367,213.829,208.188,212.593,57365700,0.00385887,0.00385785,198.875,215.6617,0.050983925,Downtrend,257.854,-0.175529563
1112,AAPL,5/2/25,205.388,206.285,201.471,204.65,101010600,-0.0373618,-0.037362472,198.9826,214.85486,0.047138029,Downtrend,257.854,-0.206333817
1113,AAPL,5/5/25,202.408,203.404,197.535,198.212,69018500,-0.0314584,-0.031458588,199.5063,213.92484,0.04453326,Downtrend,257.854,-0.231301434
1114,AAPL,5/6/25,197.535,199.966,196.349,197.833,51216500,-0.0019107,-0.001912094,200.35585,212.95634,0.043542566,Downtrend,257.854,-0.232771258
1115,AAPL,5/7/25,198.491,198.76,192.591,195.581,68536700,-0.0113848,-0.011383338,201.5433,211.944,0.041792031,Downtrend,257.854,-0.241504883
1116,AAPL,5/8/25,197.046,199.368,194.017,196.817,50478900,0.00631849,0.006319632,201.47555,211.08952,0.023826285,Downtrend,257.854,-0.236711472
1117,AAPL,5/9/25,198.322,199.857,196.867,197.853,36453900,0.00526608,0.005263773,201.87965,210.31676,0.021655215,Downtrend,257.854,-0.232693695
1118,AAPL,5/12/25,210.527,210.826,206.316,210.347,63775800,0.0631462,0.063147893,202.52325,209.70338,0.024192161,Downtrend,257.854,-0.184239919
1119,AAPL,5/13/25,209.988,212.952,208.561,212.483,51909300,0.0101523,0.010154649,203.0559,209.20866,0.023854236,Downtrend,257.854,-0.175956161
1120,AAPL,5/14/25,211.984,213.491,210.138,211.884,49325800,-0.00281783,-0.002819049,203.57755,208.74382,0.023864967,Downtrend,257.854,-0.178279181
1121,AAPL,5/15/25,210.507,212.513,209.1,211.006,45029500,-0.00414446,-0.004143777,204.44745,208.2652,0.021845788,Downtrend,257.854,-0.181684209
1122,AAPL,5/16/25,211.914,212.123,209.329,210.816,54737900,-0.000898581,-0.000900448,205.1728,207.79096,0.021761167,Downtrend,257.854,-0.18242106
1123,AAPL,5/19/25,207.473,209.04,203.831,208.341,46140500,-0.0117391,-0.011740096,205.96475,207.19268,0.02139623,Downtrend,257.854,-0.192019515
1124,AAPL,5/20/25,207.234,208.032,204.599,206.425,42496600,-0.00919623,-0.009196462,206.33305,206.78708,0.020378356,Downtrend,257.854,-0.199450076
1125,AAPL,5/21/25,204.739,206.605,200.288,201.665,59211800,-0.0230592,-0.023059222,206.22115,206.41864,0.020401687,Downtrend,257.854,-0.217910135
1126,AAPL,5/22/25,200.288,202.324,199.28,200.937,46742400,-0.00361227,-0.003609947,205.885,206.11256,0.019923398,Downtrend,257.854,-0.220733438
1127,AAPL,5/23/25,193.263,197.285,193.054,194.86,78432900,-0.0302442,-0.03024331,205.19965,205.83046,0.020871329,Downtrend,257.854,-0.244301039
1128,AAPL,5/27/25,197.883,200.318,197.015,199.789,56288500,0.0252983,0.025295084,204.7179,205.571,0.021779115,Downtrend,257.854,-0.22518557
1129,AAPL,5/28/25,200.169,202.304,199.48,199.999,45339700,0.00104885,0.001051109,204.19335,205.30556,0.02172731,Downtrend,257.854,-0.224371156
1130,AAPL,5/29/25,203.152,203.382,198.093,199.53,51396800,-0.00234506,-0.002345012,203.58105,205.05686,0.021636494,Downtrend,257.854,-0.226190015
